Features, Abstract features, Abstract leaf features, Abstract compound features, Concrete features, Concrete leaf features, Concrete compound features, Compound features, Leaf features, Root feature, Top features, Solitary features, Grouped features, Tree relationships, Mandatory features, Optional features, Feature groups, Alternative groups, Or groups, Mutex groups, Cardinality groups, Depth of tree, Max depth of tree, Mean depth of tree, Median depth of tree, Branching factor, Avg children per feature, Min children per feature, Max children per feature, Cross-tree constraints, Simple constraints, Requires constraints, Excludes constraints, Complex constraints, Pseudo-complex constraints, Strict-complex constraints, Features in constraints, Avg constraints per feature, Min constraints per feature, Max constraints per feature, Valid (not void), Core features, Dead features, Variant features, False-optional features, Configurations
43, 0, 0, 0, 43, 31, 12, 12, 31, 1, 14, 22, 20, 29, 12, 10, 7, 3, 4, 0, 0, 3, 3, 2.03, 2, 3.5, 0.98, 1, 14, 3, 3, 3, 0, 0, 0, 0, 5, 0.14, 0, 2, Yes, 10, 0, 33, 0, 2.12e6
37, 0, 0, 0, 37, 26, 11, 11, 26, 1, 9, 14, 22, 22, 6, 8, 8, 6, 2, 0, 0, 3, 3, 2.19, 2.0, 3.27, 0.97, 2, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 7, 0, 30, 0, 1.74e6
45, 13, 0, 13, 32, 32, 0, 13, 32, 1, 11, 18, 26, 28, 8, 10, 10, 10, 0, 0, 0, 5, 5, 2.66, 2.0, 3.38, 0.98, 2, 11, 13, 3, 2, 1, 10, 1, 9, 25, 1, 0, 3, Yes, 7, 0, 38, 0, 26256
1927, 1081, 680, 401, 846, 683, 163, 564, 1363, 1, 445, 1198, 728, 1476, 410, 788, 278, 8, 270, 0, 0, 19, 19, 3.24, 3, 3.41, 1.0, 1, 445, 835, 835, 508, 327, 0, 0, 0, 905, 0.87, 0, 93, Yes, 178, 71, 1678, 31, ≤ 4.51e383
179, 0, 0, 0, 179, 124, 55, 55, 124, 1, 5, 57, 121, 93, 40, 17, 36, 23, 13, 0, 0, 5, 5, 3.77, 4.0, 3.24, 0.99, 1, 8, 7, 7, 6, 1, 0, 0, 0, 13, 0.08, 0, 2, Yes, 1, 0, 178, 0, 2.93e24
6467, 0, 0, 0, 6467, 5523, 944, 944, 5523, 1, 1004, 6281, 185, 6322, 244, 6037, 41, 39, 2, 0, 0, 7, 7, 2.7, 3, 6.85, 1.0, 1, 1004, 7650, 7313, 7108, 205, 337, 0, 337, 2943, 2.38, 0, 517, Yes, 53, 211, 6203, 39, ≤ 3.90e1672
14098, 90, 66, 24, 14008, 12614, 1394, 1418, 12680, 1, 4, 2889, 11208, 4024, 1520, 1369, 1135, 1010, 125, 0, 0, 10, 10, 5.16, 5.0, 9.94, 1.0, 1, 229, 833, 833, 751, 82, 0, 0, 0, 870, 0.12, 0, 20, Yes, 1412, 8, 12678, 23, ≤ 3.09e1318
12, 1, 0, 1, 11, 8, 3, 4, 8, 1, 4, 4, 7, 7, 3, 1, 3, 2, 1, 0, 0, 2, 2, 1.88, 2.0, 2.75, 0.92, 2, 4, 1, 1, 1, 0, 0, 0, 0, 2, 0.17, 0, 1, Yes, 4, 0, 8, 0, 42
33, 0, 0, 0, 33, 20, 13, 13, 20, 1, 5, 11, 21, 20, 8, 3, 9, 9, 0, 0, 0, 4, 4, 2.75, 3.0, 2.46, 0.97, 1, 5, 10, 10, 8, 2, 0, 0, 0, 15, 0.61, 0, 2, Yes, 8, 1, 24, 1, 234
66, 30, 8, 22, 36, 36, 0, 22, 44, 1, 1, 38, 27, 47, 15, 23, 9, 8, 1, 0, 0, 5, 5, 3.82, 4.0, 2.95, 0.98, 1, 9, 32, 4, 4, 0, 28, 6, 22, 41, 1.41, 0, 10, Yes, 5, 0, 61, 2, 107094
